Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_53407g0010	dnaJ ERDJ3A	NA	NA	NA	noIPR|IPR001623|IPR001623|noIPR|IPR001623|IPR036869|noIPR|noIPR|noIPR|IPR018253|IPR001623|noIPR|IPR001623|IPR036869|IPR036249	null|DnaJ domain|DnaJ domain|DnaJ domain|DnaJ domain|DnaJ domain superfamily|DnaJ domain superfamily|DnaJ domain superfamily|DnaJ domain superfamily|DnaJ domain, conserved site|DnaJ domain|DnaJ domain|DnaJ domain|DnaJ domain superfamily|Thioredoxin-like superfamily	AT3G08970-DNAJ heat shock N-terminal domain-containing protein
MA_612592g0010	uncharacterized LOC8278573 precursor	NA	NA	NA	IPR008979|IPR006946|noIPR|noIPR	Galactose-binding-like domain superfamily|Domain of unknown function DUF642|Domain of unknown function DUF642|Domain of unknown function DUF642	AT5G11420-transmembrane protein, putative (Protein of unknown function, DUF642)
MA_65022g0010	(-)-linalool synthase	GO:0000287|GO:0010333	magnesium ion binding|terpene synthase activity	Molecular Function|Molecular Function	IPR005630|IPR008949|noIPR|noIPR|IPR008949	Terpene synthase, metal-binding domain|Isoprenoid synthase domain superfamily|Isoprenoid synthase domain superfamily|Isoprenoid synthase domain superfamily|Isoprenoid synthase domain superfamily	AT1G61680-terpene synthase 14
MA_650673g0010	pentatricopeptide repeat-containing At2g22070	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|IPR002885|IPR011990|IPR032867|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT2G22070-pentatricopeptide (PPR) repeat-containing protein
MA_66969g0010	transcription factor 2	GO:0003677|GO:0003700|GO:0005667|GO:0006355|GO:0045449	DNA binding|transcription factor activity, sequence-specific DNA binding|transcription factor complex|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated	Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process	IPR001471|IPR001471|IPR001471|IPR036955|noIPR|noIPR|noIPR|noIPR|IPR001471|IPR001471|IPR016177	AP2/ERF domain|AP2/ERF domain|AP2/ERF domain|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain superfamily|AP2/ERF domain|AP2/ERF domain|DNA-binding domain superfamily	NA
MA_68001g0010	GDP-fucose O-fucosyltransferase	GO:0005737|GO:0016021|GO:0016757	cytoplasm|integral component of membrane|transferase activity, transferring glycosyl groups	Cellular Component|Cellular Component|Molecular Function	noIPR|noIPR	null|null	AT5G35570-O-fucosyltransferase family protein
MA_741127g0010	class IV chitinase Chia4-	GO:0004568|GO:0005975|GO:0006032|GO:0008061|GO:0016998	chitinase activity|carbohydrate metabolic process|chitin catabolic process|chitin binding|cell wall macromolecule catabolic process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process	IPR001002|noIPR|IPR016283|IPR000726|IPR001002|IPR036861|noIPR|noIPR|IPR000726|IPR018371|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001002|IPR001002|noIPR|IPR000726|noIPR|IPR036861|IPR023346	Chitin-binding, type 1|Chitin-binding, type 1|Glycoside hydrolase, family 19|Glycoside hydrolase, family 19, catalytic|Chitin-binding, type 1|Endochitinase-like superfamily|Endochitinase-like superfamily|Endochitinase-like superfamily|Glycoside hydrolase, family 19, catalytic|Chitin-binding, type 1, conserved site|Chitin-binding, type 1, conserved site|Chitin-binding, type 1, conserved site|Chitin-binding, type 1, conserved site|Chitin-binding, type 1, conserved site|Chitin-binding, type 1, conserved site|Chitin-binding, type 1|Chitin-binding, type 1|Chitin-binding, type 1|Glycoside hydrolase, family 19, catalytic|Glycoside hydrolase, family 19, catalytic|Endochitinase-like superfamily|Lysozyme-like domain superfamily	AT2G43610-Chitinase family protein
MA_74986g0020	pentatricopeptide repeat-containing At4g02750	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|noIPR|IPR002885|IPR011990|IPR002885|IPR032867|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G13770-Pentatricopeptide repeat (PPR) superfamily protein
MA_751839g0010	alcohol dehydrogenase	GO:0055114	oxidation-reduction process	Biological Process	noIPR|IPR013149|noIPR|noIPR|IPR036291	null|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|NAD(P)-binding domain superfamily	AT5G63620-GroES-like zinc-binding alcohol dehydrogenase family protein
MA_76964g0020	probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC	GO:0005515	protein binding	Molecular Function	IPR019734|noIPR|IPR011990|noIPR|IPR027363|noIPR|IPR011990|noIPR|IPR019734|IPR029489|IPR001440|IPR011990|noIPR|noIPR|IPR019734|IPR019734|IPR019734|IPR019734|IPR019734|IPR019734|IPR013026|IPR019734|IPR019734|IPR011990|IPR011990	Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Methylthioribose-1-phosphate isomerase-like, N-terminal|Methylthioribose-1-phosphate isomerase-like, N-terminal|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide repeat|O-GlcNAc transferase, C-terminal|Tetratricopeptide repeat 1|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide repeat-containing domain|Tetratricopeptide repeat|Tetratricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT3G04240-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_79492g0010	auxin-induced 6B-like	GO:0009733	response to auxin	Biological Process	IPR003676|noIPR|noIPR|noIPR|noIPR	Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA	AT1G75590-SAUR-like auxin-responsive protein family
MA_8113344g0010	D -box ATP-dependent RNA helicase D 14	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT5G61140-U5 small nuclear ribonucleoprotein helicase
MA_8126g0010	multiple organellar RNA editing factor chloroplastic mitochondrial-like	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT3G15000-cobalt ion binding protein
MA_824550g0010	DNA polymerase I chloroplastic mitochondrial-like	GO:0003677|GO:0003887|GO:0006261|GO:0042575	DNA binding|DNA-directed DNA polymerase activity|DNA-dependent DNA replication|DNA polymerase complex	Molecular Function|Molecular Function|Biological Process|Cellular Component	IPR002298|IPR001098|IPR001098|noIPR|noIPR|noIPR|noIPR	DNA polymerase A|DNA-directed DNA polymerase, family A, palm domain|DNA-directed DNA polymerase, family A, palm domain|DNA-directed DNA polymerase, family A, palm domain|DNA-directed DNA polymerase, family A, palm domain|DNA-directed DNA polymerase, family A, palm domain|DNA-directed DNA polymerase, family A, palm domain	AT3G20540-polymerase gamma 1
MA_832086g0010	Phosphoacetylglucosamine mutase	GO:0000287|GO:0005975|GO:0016868	magnesium ion binding|carbohydrate metabolic process|intramolecular transferase activity, phosphotransferases	Molecular Function|Biological Process|Molecular Function	IPR005844|IPR005846|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR016066|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR016055|IPR016055|IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, alpha/beta/alpha domain III|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, conserved site|Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III|Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III|Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	NA
MA_83500g0010	Transcription factor HEC1	GO:0046983	protein dimerization activity	Molecular Function	noIPR|IPR011598|IPR011598|IPR036638|noIPR|noIPR|IPR011598|IPR011598|IPR036638	null|Myc-type, basic helix-loop-helix (bHLH) domain|Myc-type, basic helix-loop-helix (bHLH) domain|Helix-loop-helix DNA-binding domain superfamily|Helix-loop-helix DNA-binding domain superfamily|Helix-loop-helix DNA-binding domain superfamily|Myc-type, basic helix-loop-helix (bHLH) domain|Myc-type, basic helix-loop-helix (bHLH) domain|Helix-loop-helix DNA-binding domain superfamily	AT3G50330-basic helix-loop-helix (bHLH) DNA-binding superfamily protein
MA_8594504g0010	unknown	GO:0006629|GO:0016021|GO:0016787	lipid metabolic process|integral component of membrane|hydrolase activity	Biological Process|Cellular Component|Molecular Function	NA	NA	NA
MA_8606026g0010	fatty acyl- reductase 2	GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	Molecular Function	noIPR|IPR013120|IPR033640|noIPR|IPR026055|IPR033640|IPR036291	null|Male sterility, NAD-binding|Fatty acyl-CoA reductase, C-terminal|Fatty acyl-CoA reductase, C-terminal|Fatty acyl-CoA reductase|Fatty acyl-CoA reductase, C-terminal|NAD(P)-binding domain superfamily	AT3G11980-Jojoba acyl CoA reductase-related male sterility protein
MA_8662567g0010	probable arginine N-methyltransferase 3	GO:0006479|GO:0016274	protein methylation|protein-arginine N-methyltransferase activity	Biological Process|Molecular Function	noIPR|noIPR|noIPR|IPR029063	null|null|null|S-adenosyl-L-methionine-dependent methyltransferase	AT3G12270-protein arginine methyltransferase 3
MA_894565g0010	unknown	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_89936g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_90899g0010	retinol dehydrogenase 12-like	NA	NA	NA	IPR002347|IPR002347|IPR002347|noIPR|noIPR|noIPR|IPR036291	Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase SDR|NAD(P)-binding domain superfamily	AT5G53090-NAD(P)-binding Rossmann-fold superfamily protein
MA_93490g0010	probable strigolactone esterase DAD2	GO:0005634|GO:0009536|GO:0010223|GO:0052689|GO:1901601	nucleus|plastid|secondary shoot formation|carboxylic ester hydrolase activity|strigolactone biosynthetic process	Cellular Component|Cellular Component|Biological Process|Molecular Function|Biological Process	IPR029058|IPR000073|noIPR|noIPR|IPR029058	Alpha/Beta hydrolase fold|Alpha/beta hydrolase fold-1|Alpha/beta hydrolase fold-1|Alpha/beta hydrolase fold-1|Alpha/Beta hydrolase fold	AT3G03990-alpha/beta-Hydrolases superfamily protein
MA_93690g0010	casparian strip membrane 1	GO:0005886|GO:0016021|GO:0071555	plasma membrane|integral component of membrane|cell wall organization	Cellular Component|Cellular Component|Biological Process	IPR006702|IPR006459|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Domain of unknown function DUF588|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein|Casparian strip membrane protein	AT3G11550-Uncharacterized protein family (UPF0497)
MA_941794g0010	peroxidase 51-like	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0042744|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|hydrogen peroxide catabolic process|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process	IPR000823|IPR002016|IPR002016|noIPR|noIPR|noIPR|noIPR|IPR019793|IPR019794|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002016|IPR033905|IPR010255	Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidases heam-ligand binding site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Haem peroxidase, plant/fungal/bacterial|Secretory peroxidase|Haem peroxidase	AT4G37530-Peroxidase superfamily protein
MA_943652g0010	hypothetical protein SELMODRAFT_413620	NA	NA	NA	NA	NA	NA
MA_9442434g0010	F-box kelch-repeat At1g67480-like	GO:0005515	protein binding	Molecular Function	IPR006652|noIPR|IPR037293|IPR001810|noIPR|noIPR|noIPR|noIPR|IPR015915	Kelch repeat type 1|Kelch repeat type 1|Galactose oxidase, beta-propeller|F-box domain|F-box domain|F-box domain|F-box domain|F-box domain|Kelch-type beta propeller	AT1G67480-Galactose oxidase/kelch repeat superfamily protein
MA_9603551g0010	cysteine-rich repeat secretory 38	NA	NA	NA	IPR002902|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002902|IPR002902|noIPR|noIPR	Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain	AT3G22060-Receptor-like protein kinase-related family protein
MA_98673g0010	transcription factor	NA	NA	NA	noIPR|noIPR|IPR025757|IPR006869|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|Ternary complex factor MIP1, leucine-zipper|Domain of unknown function DUF547|Domain of unknown function DUF547|Domain of unknown function DUF547|Domain of unknown function DUF547|Domain of unknown function DUF547|Domain of unknown function DUF547	AT3G13000-ubiquinone biosynthesis protein (Protein of unknown function, DUF547)
MA_99523g0010	Proline transporter 2	GO:0016021	integral component of membrane	Cellular Component	IPR013057|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain	AT3G55740-proline transporter 2
