Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_121102g0010	pentatricopeptide repeat-containing At5g04780-like	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|noIPR|IPR011990|IPR002885|IPR002885|IPR002885|IPR011990|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT2G22070-pentatricopeptide (PPR) repeat-containing protein
MA_121267g0010	pentatricopeptide repeat-containing At3g29230	GO:0005515	protein binding	Molecular Function	IPR011990|IPR002885|IPR002885|IPR011990|IPR002885|IPR011990|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT2G13600-Pentatricopeptide repeat (PPR) superfamily protein
MA_130823g0010	basic blue	GO:0006118|GO:0009055	obsolete electron transport|electron carrier activity	Biological Process|Molecular Function	IPR008972|IPR003245|noIPR|noIPR|IPR028871|noIPR|noIPR|noIPR|IPR003245|IPR003245|noIPR|IPR008972	Cupredoxin|Phytocyanin domain|Phytocyanin domain|Phytocyanin domain|Blue (type 1) copper protein, binding site|Blue (type 1) copper protein, binding site|Blue (type 1) copper protein, binding site|Blue (type 1) copper protein, binding site|Phytocyanin domain|Phytocyanin domain|Phytocyanin domain|Cupredoxin	AT2G02850-plantacyanin
MA_133858g0010	delta-1-pyrroline-5-carboxylate synthase-like isoform X1	GO:0000051|GO:0004350|GO:0006537|GO:0006561|GO:0050661|GO:0055114	obsolete urea cycle intermediate metabolic process|glutamate-5-semialdehyde dehydrogenase activity|glutamate biosynthetic process|proline biosynthetic process|NADP binding|oxidation-reduction process	Biological Process|Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process	IPR036393|IPR012134|IPR015590|IPR016162|noIPR|IPR016162|noIPR|noIPR|noIPR|noIPR|IPR020593|IPR016161|IPR036393	Acetylglutamate kinase-like superfamily|Glutamate-5-semialdehyde dehydrogenase|Aldehyde dehydrogenase domain|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Aldehyde dehydrogenase, N-terminal|Gamma-glutamyl phosphate reductase GPR, conserved site|Aldehyde/histidinol dehydrogenase|Acetylglutamate kinase-like superfamily	AT3G55610-delta 1-pyrroline-5-carboxylate synthase 2
MA_138190g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|IPR002885|noIPR|IPR032867|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR|IPR011990	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_140553g0010	pentatricopeptide repeat-containing At4g02750	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|IPR011990|IPR002885|IPR002885|IPR011990|IPR032867|noIPR|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT5G09950-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_141053g0010	7-deoxyloganetin glucosyltransferase-like	GO:0008152|GO:0016758	metabolic process|transferase activity, transferring hexosyl groups	Biological Process|Molecular Function	noIPR|IPR002213|IPR002213|noIPR|IPR035595|noIPR	null|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glycosyltransferase family, conserved site|UDP-glycosyltransferase family, conserved site	AT1G22400-UDP-Glycosyltransferase superfamily protein
MA_141920g0010	pentatricopeptide repeat-containing mitochondrial-like	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	noIPR|IPR002885|IPR002885|IPR002885|IPR011990|noIPR|IPR032867|IPR002885|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	null|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT4G30700-Pentatricopeptide repeat (PPR) superfamily protein
MA_142007g0010	probable alpha-mannosidase At5g13980	GO:0004559|GO:0006013|GO:0030246	alpha-mannosidase activity|mannose metabolic process|carbohydrate binding	Molecular Function|Biological Process|Molecular Function	IPR011682|noIPR|noIPR|noIPR|IPR011013	Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Galactose mutarotase-like domain superfamily	AT5G13980-Glycosyl hydrolase family 38 protein
MA_14659g0010	pentatricopeptide repeat-containing mitochondrial-like	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|noIPR|IPR002885|IPR002885|IPR011990|IPR032867|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G23330-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_1567g0010	kDa proline-rich -like	NA	NA	NA	IPR016140|noIPR|IPR027923|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027923|noIPR|noIPR|noIPR|IPR036312|noIPR	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	AT1G62500-Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
MA_162940g0010	chloride conductance regulatory ICln	GO:0000387|GO:0005829|GO:0005886|GO:0006821|GO:0006884|GO:0034709|GO:0034715	spliceosomal snRNP assembly|cytosol|plasma membrane|chloride transport|cell volume homeostasis|methylosome|pICln-Sm protein complex	Biological Process|Cellular Component|Cellular Component|Biological Process|Biological Process|Cellular Component|Cellular Component	noIPR|noIPR	null|null	AT5G62290-nucleotide-sensitive chloride conductance regulator (ICln) family protein
MA_16823g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|IPR032867|IPR002885|IPR002885|IPR011990|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_169317g0010	cysteine-rich receptor kinase 10	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	noIPR|IPR000719|noIPR|noIPR|IPR001245|noIPR|IPR002902|noIPR|noIPR|noIPR|noIPR|IPR008271|noIPR|noIPR|noIPR|IPR002902|IPR002902|IPR000719|noIPR|IPR011009|noIPR	null|Protein kinase domain|Protein kinase domain|Protein kinase domain|Serine-threonine/tyrosine-protein kinase, catalytic domain|Serine-threonine/tyrosine-protein kinase, catalytic domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Serine/threonine-protein kinase, active site|Gnk2-homologous domain|Gnk2-homologous domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily	AT4G23160-cysteine-rich RECEPTOR-like kinase
MA_18049g0010	histidine-containing phosphotransfer 1	GO:0000160|GO:0004871	phosphorelay signal transduction system|signal transducer activity	Biological Process|Molecular Function	IPR008207|IPR036641|noIPR|noIPR|IPR008207|IPR008207|IPR036641	Signal transduction histidine kinase, phosphotransfer (Hpt) domain|HPT domain superfamily|HPT domain superfamily|HPT domain superfamily|Signal transduction histidine kinase, phosphotransfer (Hpt) domain|Signal transduction histidine kinase, phosphotransfer (Hpt) domain|HPT domain superfamily	AT3G21510-histidine-containing phosphotransmitter 1
MA_181748g0010	acetyl- cytosolic 1	GO:0008152|GO:0016747	metabolic process|transferase activity, transferring acyl groups other than amino-acyl groups	Biological Process|Molecular Function	IPR020617|IPR020616|IPR016039|IPR002155|IPR016039|IPR002155|noIPR|noIPR|IPR020613|IPR020610|IPR002155|IPR016039|IPR016039	Thiolase, C-terminal|Thiolase, N-terminal|Thiolase-like|Thiolase|Thiolase-like|Thiolase|Thiolase|Thiolase|Thiolase, conserved site|Thiolase, active site|Thiolase|Thiolase-like|Thiolase-like	NA
MA_19047g0010	RING FYVE PHD zinc finger superfamily isoform 1	GO:0005488	binding	Molecular Function	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null	AT3G52105-DIS3-exonuclease-like protein
MA_201267g0010	glucan endo-1,3-beta-glucosidase 4-like	GO:0004553|GO:0005975|GO:0030247|GO:0046658	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process|polysaccharide binding|anchored component of plasma membrane	Molecular Function|Biological Process|Molecular Function|Cellular Component	IPR012946|IPR012946|noIPR|noIPR	X8 domain|X8 domain|X8 domain|X8 domain	NA
MA_20217g0010	Leucine-rich repeat (LRR) family	GO:0005515	protein binding	Molecular Function	IPR032675|IPR001611|noIPR|noIPR|IPR032675	Leucine-rich repeat domain superfamily|Leucine-rich repeat|Leucine-rich repeat|Leucine-rich repeat|Leucine-rich repeat domain superfamily	NA
MA_207936g0010	NUCLEAR FUSION DEFECTIVE 4-like	GO:0016020	membrane	Cellular Component	noIPR|noIPR|IPR010658|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Nodulin-like|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily	AT2G39210-Major facilitator superfamily protein
MA_2473g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR032867|IPR002885|IPR011990|IPR011990|IPR011990|IPR002885|noIPR|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G57430-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_25421g0010	pentatricopeptide repeat-containing At2g44880 isoform X1	GO:0005515	protein binding	Molecular Function	IPR011990|IPR011990|IPR011990|IPR002885|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT2G03880-Pentatricopeptide repeat (PPR) superfamily protein
MA_25584g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|noIPR|IPR032867|IPR002885|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT4G18750-Pentatricopeptide repeat (PPR) superfamily protein
MA_265921g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|IPR002885|IPR032867|noIPR|IPR002885|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	NA
MA_27147g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	noIPR|IPR002885|IPR002885|IPR011990|IPR002885|IPR011990|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	null|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G49170-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_28559g0010	chaperone dnaJ 16	NA	NA	NA	noIPR|noIPR|noIPR|noIPR	null|null|null|null	AT1G24120-ARG1-like 1
MA_343069g0010	2-methyl-3-buten-2-ol synthase	GO:0008152|GO:0010333	metabolic process|terpene synthase activity	Biological Process|Molecular Function	noIPR|IPR001906|IPR036965|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR008930	null|Terpene synthase, N-terminal domain|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	AT4G02780-Terpenoid cyclases/Protein prenyltransferases superfamily protein
MA_356289g0010	glyoxalase 2-5	GO:0004416|GO:0005506|GO:0005739|GO:0006090|GO:0008270|GO:0009507|GO:0019243	hydroxyacylglutathione hydrolase activity|iron ion binding|mitochondrion|pyruvate metabolic process|zinc ion binding|chloroplast|methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	Molecular Function|Molecular Function|Cellular Component|Biological Process|Molecular Function|Cellular Component|Biological Process	IPR001279|IPR001279|IPR036866|noIPR|noIPR|IPR035680|IPR036866	Metallo-beta-lactamase|Metallo-beta-lactamase|Metallo-hydrolase/oxidoreductase superfamily|Metallo-hydrolase/oxidoreductase superfamily|Metallo-hydrolase/oxidoreductase superfamily|Hydroxyacylglutathione hydrolase, MBL domain|Metallo-hydrolase/oxidoreductase superfamily	AT2G31350-glyoxalase 2-5
MA_375402g0010	Glycosyl hydrolase family 38	GO:0004559|GO:0006013|GO:0006517|GO:0008270|GO:0030246	alpha-mannosidase activity|mannose metabolic process|protein deglycosylation|zinc ion binding|carbohydrate binding	Molecular Function|Biological Process|Biological Process|Molecular Function|Molecular Function	NA	NA	AT5G66150-Glycosyl hydrolase family 38 protein
MA_38821g0010	splicing regulatory glutamine lysine-rich 1 isoform X1	NA	NA	NA	noIPR|noIPR	null|null	AT5G27860-hypothetical protein
MA_427508g0010	---NA---	NA	NA	NA	noIPR|noIPR	null|null	NA
