Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_30381g0010	alcohol	GO:0008270|GO:0016491|GO:0055114	zinc ion binding|oxidoreductase activity|oxidation-reduction process	Molecular Function|Molecular Function|Biological Process	IPR020843|noIPR|noIPR|IPR013154|IPR013149|noIPR|noIPR|IPR002328|noIPR|IPR036291|IPR011032|IPR011032	Polyketide synthase, enoylreductase domain|Polyketide synthase, enoylreductase domain|Polyketide synthase, enoylreductase domain|Alcohol dehydrogenase, N-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, zinc-type, conserved site|Alcohol dehydrogenase, zinc-type, conserved site|NAD(P)-binding domain superfamily|GroES-like superfamily|GroES-like superfamily	AT1G77120-alcohol dehydrogenase 1
MA_304675g0010	unknown	NA	NA	NA	IPR036758|IPR007493|noIPR|noIPR|IPR036758	At5g01610-like superfamily|Protein of unknown function DUF538|Protein of unknown function DUF538|Protein of unknown function DUF538|At5g01610-like superfamily	AT5G46230-hypothetical protein (Protein of unknown function, DUF538)
MA_305120g0010	AUGMIN subunit 6-like isoform X3	GO:0051225|GO:0070652	spindle assembly|HAUS complex	Biological Process|Cellular Component	IPR028163|noIPR|IPR026797	HAUS augmin-like complex subunit 6, N-terminal|HAUS augmin-like complex subunit 6, N-terminal|HAUS augmin-like complex subunit 6	AT5G40740-HAUS augmin-like complex subunit
MA_308230g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_337982g0010	phospholipase D zeta 1-like	GO:0004630|GO:0009395|GO:0016036|GO:0031410|GO:0048364|GO:0070290	phospholipase D activity|phospholipid catabolic process|cellular response to phosphate starvation|cytoplasmic vesicle|root development|N-acylphosphatidylethanolamine-specific phospholipase D activity	Molecular Function|Biological Process|Biological Process|Cellular Component|Biological Process|Molecular Function	IPR015679|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family|Phospholipase D family	AT3G16785-phospholipase D P1
MA_34934g0010	F-box LRR-repeat At1g67190	GO:0005515	protein binding	Molecular Function	IPR001810|IPR032675|IPR001810|noIPR|IPR001810|noIPR|IPR036047	F-box domain|Leucine-rich repeat domain superfamily|F-box domain|F-box domain|F-box domain|F-box domain|F-box-like domain superfamily	AT1G67190-F-box/RNI-like superfamily protein
MA_407656g0010	serine threonine- kinase BLUS1-like isoform X1	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|noIPR|noIPR|noIPR|IPR000719|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000719|IPR011009|noIPR	Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily	AT4G10730-Protein kinase superfamily protein
MA_417g0010	CST complex subunit CTC1	GO:0000723	telomere maintenance	Biological Process	IPR028262|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant|CST complex subunit CTC1, plant	AT4G09680-conserved telomere maintenance component 1
MA_468415g0010	DNA-directed RNA polymerase III subunit RPC3	GO:0001056|GO:0003677|GO:0005666|GO:0006383	RNA polymerase III activity|DNA binding|DNA-directed RNA polymerase III complex|transcription from RNA polymerase III promoter	Molecular Function|Molecular Function|Cellular Component|Biological Process	IPR036388|noIPR	Winged helix-like DNA-binding domain superfamily|Winged helix-like DNA-binding domain superfamily	AT3G49000-RNA polymerase III subunit RPC82 family protein
MA_483572g0010	predicted protein	GO:0005515|GO:0005768|GO:0016192|GO:0016197	protein binding|endosome|vesicle-mediated transport|endosomal transport	Molecular Function|Cellular Component|Biological Process|Biological Process	IPR003123|IPR037191	VPS9 domain|VPS9 domain superfamily	NA
MA_5004209g0010	UVR3 3-like 6-4 DNA photolyase	GO:0003914|GO:0009411	DNA (6-4) photolyase activity|response to UV	Molecular Function|Biological Process	IPR014729|IPR006050|noIPR|IPR006050|IPR036155|noIPR	Rossmann-like alpha/beta/alpha sandwich fold|DNA photolyase, N-terminal|DNA photolyase, N-terminal|DNA photolyase, N-terminal|Cryptochrome/photolyase, N-terminal domain superfamily|Cryptochrome/photolyase, N-terminal domain superfamily	AT3G15620-DNA photolyase family protein
MA_533971g0010	ubiquitin-associated TS-N domain-containing	NA	NA	NA	NA	NA	NA
MA_545877g0010	alcohol dehydrogenase	GO:0055114	oxidation-reduction process	Biological Process	noIPR|IPR013154|noIPR|noIPR|noIPR|IPR011032	null|Alcohol dehydrogenase, N-terminal|Alcohol dehydrogenase, N-terminal|Alcohol dehydrogenase, N-terminal|Alcohol dehydrogenase, N-terminal|GroES-like superfamily	NA
MA_55488g0010	STE20 SPS1-related proline-alanine-rich kinase isoform X1	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null	AT4G10730-Protein kinase superfamily protein
MA_64039g0010	uncharacterized WD repeat-containing -like isoform X4	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT3G13340-Transducin/WD40 repeat-like superfamily protein
MA_656523g0010	probable beta-D-xylosidase 7	GO:0004553|GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process	Molecular Function|Biological Process	IPR026891|IPR013783|IPR026891|IPR036881|noIPR|noIPR	Fibronectin type III-like domain|Immunoglobulin-like fold|Fibronectin type III-like domain|Glycoside hydrolase family 3 C-terminal domain superfamily|Glycoside hydrolase family 3 C-terminal domain superfamily|Glycoside hydrolase family 3 C-terminal domain superfamily	AT5G10560-Glycosyl hydrolase family protein
MA_689462g0010	---NA---	NA	NA	NA	NA	NA	NA
MA_6938949g0010	CHROMATIN REMODELING 20 isoform X1	GO:0005524|GO:0016021|GO:0042626|GO:0055085	ATP binding|integral component of membrane|ATPase activity, coupled to transmembrane movement of substances|transmembrane transport	Molecular Function|Cellular Component|Molecular Function|Biological Process	IPR036640|noIPR|noIPR|IPR027417	ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|P-loop containing nucleoside triphosphate hydrolase	AT1G08600-P-loop containing nucleoside triphosphate hydrolases superfamily protein
MA_696621g0010	pentatricopeptide repeat-containing At4g02750	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR032867|IPR011990|IPR002885|noIPR|IPR011990|IPR002885|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT2G03880-Pentatricopeptide repeat (PPR) superfamily protein
MA_69695g0010	unknown	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_7095237g0010	GEM 5	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT5G13200-GRAM domain family protein
MA_71922g0010	non-structural maintenance of chromosomes element 4 homolog A	GO:0005634|GO:0006281|GO:0030915	nucleus|DNA repair|Smc5-Smc6 complex	Cellular Component|Biological Process|Cellular Component	IPR014854|noIPR|noIPR|noIPR|IPR027786	Non-structural maintenance of chromosome element 4, C-terminal|Non-structural maintenance of chromosome element 4, C-terminal|Non-structural maintenance of chromosome element 4, C-terminal|Non-structural maintenance of chromosome element 4, C-terminal|Nse4/EID family	AT1G51130-Nse4, component of Smc5/6 DNA repair complex
MA_727841g0010	alcohol dehydrogenase	GO:0055114	oxidation-reduction process	Biological Process	noIPR|IPR013149|noIPR|noIPR|IPR036291	null|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|NAD(P)-binding domain superfamily	NA
MA_74765g0010	aminodeoxychorismate chloroplastic isoform X1	GO:0009058	biosynthetic process	Biological Process	IPR005801	ADC synthase	NA
MA_7940170g0010	A Chain Structure Of A Three-Domain Sesquiterpene Synthase: A Prospective Target For Advanced Biofuels Production	GO:0008152|GO:0010333	metabolic process|terpene synthase activity	Biological Process|Molecular Function	IPR001906|IPR036965|noIPR|IPR008930	Terpene synthase, N-terminal domain|Terpene synthase, N-terminal domain superfamily|Terpene synthase, N-terminal domain superfamily|Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	AT4G02780-Terpenoid cyclases/Protein prenyltransferases superfamily protein
MA_8205806g0010	peroxisome biogenesis 16	GO:0016020	membrane	Cellular Component	IPR013919|IPR013919	Peroxisome membrane protein, Pex16|Peroxisome membrane protein, Pex16	NA
MA_8212817g0010	mitogen-activated kinase homolog NTF3	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|noIPR|IPR000719|noIPR|noIPR|noIPR|IPR017441|noIPR|noIPR|noIPR|IPR000719|IPR011009|noIPR	Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily	AT2G18170-MAP kinase 7
MA_83197g0010	exocyst complex component SEC5A-like	GO:0000145|GO:0006893	exocyst|Golgi to plasma membrane transport	Cellular Component|Biological Process	noIPR|IPR029175	null|Exocyst complex component EXOC2/Sec5	AT1G21170-Exocyst complex component SEC5
MA_83623g0010	CTD small phosphatase 2 isoform X2	GO:0016021|GO:0016311|GO:0016791	integral component of membrane|dephosphorylation|phosphatase activity	Cellular Component|Biological Process|Molecular Function	IPR004274|IPR023214|IPR004274|noIPR|noIPR|IPR004274|noIPR|IPR036412	FCP1 homology domain|HAD superfamily|FCP1 homology domain|FCP1 homology domain|FCP1 homology domain|FCP1 homology domain|FCP1 homology domain|HAD-like superfamily	AT3G55960-Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
MA_87115g0020	probable E3 ubiquitin- ligase ARI2 isoform X1	GO:0004842|GO:0016567	ubiquitin-protein transferase activity|protein ubiquitination	Molecular Function|Biological Process	noIPR|IPR002867|IPR002867|IPR013083|noIPR|IPR031127|noIPR|IPR001841|noIPR|noIPR|noIPR	null|IBR domain|IBR domain|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|E3 ubiquitin ligase RBR family|E3 ubiquitin ligase RBR family|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type	AT2G16090-RING/U-box superfamily protein
MA_874560g0010	histone acetyltransferase GCN5	GO:0005515	protein binding	Molecular Function	IPR001487|IPR001487|IPR036427|noIPR|noIPR|IPR001487|IPR036427	Bromodomain|Bromodomain|Bromodomain-like superfamily|Bromodomain-like superfamily|Bromodomain-like superfamily|Bromodomain|Bromodomain-like superfamily	NA
MA_894342g0010	lipase class 3 family	GO:0006629	lipid metabolic process	Biological Process	IPR002921|IPR029058|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR029058	Fungal lipase-like domain|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold	NA
MA_895341g0010	developmentally-regulated G- 2	GO:0005525	GTP binding	Molecular Function	IPR006073|IPR004095|noIPR|IPR006073|IPR012675|IPR005225|IPR031662|noIPR|noIPR|noIPR|IPR006074|IPR031167|noIPR|noIPR|IPR027417|IPR012676	GTP binding domain|TGS|TGS|GTP binding domain|Beta-grasp domain superfamily|Small GTP-binding protein domain|GTP binding protein, second domain|GTP binding protein, second domain|GTP binding protein, second domain|GTP binding protein, second domain|GTP1/OBG, conserved site|OBG-type guanine nucleotide-binding (G) domain|OBG-type guanine nucleotide-binding (G) domain|OBG-type guanine nucleotide-binding (G) domain|P-loop containing nucleoside triphosphate hydrolase|TGS-like	AT1G17470-developmentally regulated G-protein 1
MA_90007g0010	ARM REPEAT PROTEIN INTERACTING WITH ABF2	GO:0005515	protein binding	Molecular Function	IPR000210|IPR000210|noIPR|noIPR|noIPR|IPR000210|noIPR|IPR011333	BTB/POZ domain|BTB/POZ domain|BTB/POZ domain|BTB/POZ domain|BTB/POZ domain|BTB/POZ domain|BTB/POZ domain|SKP1/BTB/POZ domain superfamily	AT5G19330-ARM repeat protein interacting with ABF2
MA_9006790g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_906896g0010	Myosin heavy chain kinase B	GO:0004672|GO:0005524|GO:0006468	protein kinase activity|ATP binding|protein phosphorylation	Molecular Function|Molecular Function|Biological Process	IPR000719|noIPR|IPR000719|noIPR|noIPR|IPR000719|IPR011009	Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily	AT1G21650-Preprotein translocase SecA family protein
MA_9210099g0010	prolyl endopeptidase isoform X2	GO:0006508|GO:0008236	proteolysis|serine-type peptidase activity	Biological Process|Molecular Function	IPR001375|IPR029058|noIPR	Peptidase S9, prolyl oligopeptidase, catalytic domain|Alpha/Beta hydrolase fold|Alpha/Beta hydrolase fold	NA
MA_9245245g0010	unknown	GO:0016021	integral component of membrane	Cellular Component	NA	NA	NA
MA_94078g0010	serine threonine- phosphatase BSL1 homolog	GO:0005515	protein binding	Molecular Function	IPR015915|noIPR|noIPR|noIPR|IPR015915	Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller	AT4G03080-BRI1 suppressor 1 (BSU1)-like 1
MA_9521009g0010	hypothetical protein glysoja_000455	NA	NA	NA	IPR021864|noIPR	Protein of unknown function DUF3475|Protein of unknown function DUF3475	AT1G34320-Ikzf5 (DUF668)
MA_96036g0010	E3 ubiquitin- ligase ARI8	GO:0004842|GO:0016567	ubiquitin-protein transferase activity|protein ubiquitination	Molecular Function|Biological Process	noIPR|IPR031127	null|E3 ubiquitin ligase RBR family	AT2G31510-IBR domain-containing protein
MA_97679g0010	HEAT repeat domain containing	GO:0005488	binding	Molecular Function	IPR011989|IPR025977|IPR016024	Armadillo-like helical|Nuclear condensin complex subunit 3, C-terminal domain|Armadillo-type fold	NA
MA_98013g0010	unknown	GO:0016021	integral component of membrane	Cellular Component	noIPR|noIPR	null|null	NA
MA_9822612g0010	SAC3 family A isoform X1	GO:0005634	nucleus	Cellular Component	IPR005062|noIPR|noIPR	SAC3/GANP/THP3|SAC3/GANP/THP3|SAC3/GANP/THP3	NA
MA_9891g0010	AAA-type ATPase family	GO:0005524	ATP binding	Molecular Function	noIPR|IPR003959|noIPR|noIPR|noIPR|IPR003960|IPR027417	null|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, conserved site|P-loop containing nucleoside triphosphate hydrolase	AT2G45500-AAA-type ATPase family protein
MA_99999g0010	probable receptor kinase At1g49730 isoform X1	GO:0016740	transferase activity	Molecular Function	noIPR|noIPR	null|null	AT3G19300-Protein kinase superfamily protein
